,Coefficient_name,Coefficient_value
0,summit_elev,0.5263762299290979
1,vertical_drop,6.431401491145152
2,trams,-0.6074081750747762
3,fastSixes,4.9505868185148225
4,fastQuads,4.274985852302518
5,total_chairs,4.196797332291618
6,Runs,5.587449287818905
7,TerrainParks,-0.5240727078704552
8,LongestRun_mi,0.1305489011091353
9,SkiableTerrain_ac,-6.761888614559202
10,Snow Making_ac,3.3273442539597777
11,daysOpenLastYear,1.6507996585998919
12,averageSnowfall,2.1549653125139665
13,projectedDaysOpen,0.33645273139718473
14,fastQuads_runs_ratio,1.5379309972127757
15,R2_score,0.7643637584173836
16,mean_absolute_error,10.087125281603914
17,mean_squared_error,180.59404579531707
